province,year,month,form,count,capital_subscribed
Huesca,2011,2,SL,32,674337
Jaén,2011,2,SL,51,1605603
León,2011,2,SL,52,2297526
Lleida,2011,2,SL,67,1841205
"Rioja, La",2011,2,SL,39,1099944
Lugo,2011,2,SL,44,913139
Madrid,2011,2,SL,1744,139828381
Málaga,2011,2,SL,364,10867739
Murcia,2011,2,SL,246,5553876
Navarra,2011,2,SL,105,2784505
Ourense,2011,2,SL,37,270413
Asturias,2011,2,SL,117,1706196
Palencia,2011,2,SL,10,35626
"Palmas, Las",2011,2,SL,141,996646
Pontevedra,2011,2,SL,170,11280512
Salamanca,2011,2,SL,30,734152
Santa Cruz de Tenerife,2011,2,SL,128,2185496
Cantabria,2011,2,SL,78,1985615
Segovia,2011,2,SL,12,196606
Sevilla,2011,2,SL,297,10957711
Soria,2011,2,SL,14,3148140
Tarragona,2011,2,SL,135,3503566
Teruel,2011,2,SL,12,545430
Toledo,2011,2,SL,81,1363116
València / Valencia,2011,2,SL,403,11568949
Valladolid,2011,2,SL,62,6066548
Bizkaia,2011,2,SL,147,4893301
Zamora,2011,2,SL,16,158635
Zaragoza,2011,2,SL,141,8006807
Ceuta,2011,2,SL,5,18200
Melilla,2011,2,SL,6,104300
Araba / Álava,2011,2,Otras,0,0
Albacete,2011,2,Otras,0,0
Alacant / Alicante,2011,2,Otras,1,0
Almería,2011,2,Otras,0,0
Ávila,2011,2,Otras,0,0
Badajoz,2011,2,Otras,1,500
Illes Balears,2011,2,Otras,1,4000
Barcelona,2011,2,Otras,7,101152
Burgos,2011,2,Otras,0,0
Cáceres,2011,2,Otras,1,0
Cádiz,2011,2,Otras,0,0
Castelló / Castellón,2011,2,Otras,0,0
Ciudad Real,2011,2,Otras,0,0
Córdoba,2011,2,Otras,2,5000
"Coruña, A",2011,2,Otras,0,0
Cuenca,2011,2,Otras,0,0
Girona,2011,2,Otras,0,0
Granada,2011,2,Otras,0,0
Guadalajara,2011,2,Otras,0,0
Gipuzkoa,2011,2,Otras,0,0
Huelva,2011,2,Otras,0,0
Huesca,2011,2,Otras,2,1013274
Jaén,2011,2,Otras,0,0
León,2011,2,Otras,0,0
Lleida,2011,2,Otras,0,0
"Rioja, La",2011,2,Otras,1,0
Lugo,2011,2,Otras,0,0
Madrid,2011,2,Otras,5,8500
Málaga,2011,2,Otras,0,0
Murcia,2011,2,Otras,5,0
Navarra,2011,2,Otras,0,0
Ourense,2011,2,Otras,0,0
Asturias,2011,2,Otras,1,600
Palencia,2011,2,Otras,0,0
"Palmas, Las",2011,2,Otras,1,12500
Pontevedra,2011,2,Otras,0,0
Salamanca,2011,2,Otras,0,0
Santa Cruz de Tenerife,2011,2,Otras,3,4000
Cantabria,2011,2,Otras,0,0
Segovia,2011,2,Otras,0,0
Sevilla,2011,2,Otras,6,15000
Soria,2011,2,Otras,1,3010
Tarragona,2011,2,Otras,1,60000
Teruel,2011,2,Otras,0,0
Toledo,2011,2,Otras,0,0
València / Valencia,2011,2,Otras,4,7036
Valladolid,2011,2,Otras,1,2000
Bizkaia,2011,2,Otras,1,3000
Zamora,2011,2,Otras,0,0
Zaragoza,2011,2,Otras,4,46800
Ceuta,2011,2,Otras,0,0
Melilla,2011,2,Otras,0,0
Araba / Álava,2011,3,SA,3,5360000
Albacete,2011,3,SA,0,0
Alacant / Alicante,2011,3,SA,1,200000
Almería,2011,3,SA,0,0
Ávila,2011,3,SA,0,0
Badajoz,2011,3,SA,0,0
Illes Balears,2011,3,SA,1,60000
Barcelona,2011,3,SA,4,370200
Burgos,2011,3,SA,0,0
Cáceres,2011,3,SA,0,0
Cádiz,2011,3,SA,0,0
Castelló / Castellón,2011,3,SA,0,0
