province,year,month,form,count
Navarra,2011,2,Otras,0
Ourense,2011,2,Otras,0
Asturias,2011,2,Otras,0
Palencia,2011,2,Otras,0
"Palmas, Las",2011,2,Otras,5
Pontevedra,2011,2,Otras,0
Salamanca,2011,2,Otras,0
Santa Cruz de Tenerife,2011,2,Otras,2
Cantabria,2011,2,Otras,0
Segovia,2011,2,Otras,0
Sevilla,2011,2,Otras,0
Soria,2011,2,Otras,0
Tarragona,2011,2,Otras,0
Teruel,2011,2,Otras,0
Toledo,2011,2,Otras,0
València / Valencia,2011,2,Otras,0
Valladolid,2011,2,Otras,1
Bizkaia,2011,2,Otras,4
Zamora,2011,2,Otras,1
Zaragoza,2011,2,Otras,1
Ceuta,2011,2,Otras,0
Melilla,2011,2,Otras,0
Araba / Álava,2011,3,SA,1
Albacete,2011,3,SA,1
Alacant / Alicante,2011,3,SA,5
Almería,2011,3,SA,0
Ávila,2011,3,SA,0
Badajoz,2011,3,SA,4
Illes Balears,2011,3,SA,4
Barcelona,2011,3,SA,27
Burgos,2011,3,SA,1
Cáceres,2011,3,SA,0
Cádiz,2011,3,SA,1
Castelló / Castellón,2011,3,SA,1
Ciudad Real,2011,3,SA,1
Córdoba,2011,3,SA,2
"Coruña, A",2011,3,SA,1
Cuenca,2011,3,SA,0
Girona,2011,3,SA,1
Granada,2011,3,SA,1
Guadalajara,2011,3,SA,1
Gipuzkoa,2011,3,SA,2
Huelva,2011,3,SA,2
Huesca,2011,3,SA,0
Jaén,2011,3,SA,0
León,2011,3,SA,1
Lleida,2011,3,SA,3
"Rioja, La",2011,3,SA,1
Lugo,2011,3,SA,1
Madrid,2011,3,SA,38
Málaga,2011,3,SA,2
Murcia,2011,3,SA,2
Navarra,2011,3,SA,3
Ourense,2011,3,SA,0
Asturias,2011,3,SA,2
Palencia,2011,3,SA,0
"Palmas, Las",2011,3,SA,4
Pontevedra,2011,3,SA,1
Salamanca,2011,3,SA,0
Santa Cruz de Tenerife,2011,3,SA,8
Cantabria,2011,3,SA,2
Segovia,2011,3,SA,1
Sevilla,2011,3,SA,3
Soria,2011,3,SA,2
Tarragona,2011,3,SA,3
Teruel,2011,3,SA,0
Toledo,2011,3,SA,4
València / Valencia,2011,3,SA,4
Valladolid,2011,3,SA,3
Bizkaia,2011,3,SA,9
Zamora,2011,3,SA,0
Zaragoza,2011,3,SA,2
Ceuta,2011,3,SA,0
Melilla,2011,3,SA,0
Araba / Álava,2011,3,SL,152
Albacete,2011,3,SL,17
Alacant / Alicante,2011,3,SL,65
Almería,2011,3,SL,35
Ávila,2011,3,SL,10
Badajoz,2011,3,SL,11
Illes Balears,2011,3,SL,60
Barcelona,2011,3,SL,353
Burgos,2011,3,SL,6
Cáceres,2011,3,SL,8
Cádiz,2011,3,SL,20
Castelló / Castellón,2011,3,SL,20
Ciudad Real,2011,3,SL,19
Córdoba,2011,3,SL,27
"Coruña, A",2011,3,SL,27
Cuenca,2011,3,SL,4
Girona,2011,3,SL,31
Granada,2011,3,SL,31
Guadalajara,2011,3,SL,3
Gipuzkoa,2011,3,SL,23
Huelva,2011,3,SL,8
Huesca,2011,3,SL,8
Jaén,2011,3,SL,13
León,2011,3,SL,22
Lleida,2011,3,SL,20
"Rioja, La",2011,3,SL,11
Lugo,2011,3,SL,7
Madrid,2011,3,SL,347
Málaga,2011,3,SL,60
Murcia,2011,3,SL,45
Navarra,2011,3,SL,30
Ourense,2011,3,SL,12
Asturias,2011,3,SL,28
Palencia,2011,3,SL,3
"Palmas, Las",2011,3,SL,34
Pontevedra,2011,3,SL,33
Salamanca,2011,3,SL,11
Santa Cruz de Tenerife,2011,3,SL,28
Cantabria,2011,3,SL,16
Segovia,2011,3,SL,6
Sevilla,2011,3,SL,43
Soria,2011,3,SL,3
Tarragona,2011,3,SL,28
Teruel,2011,3,SL,3
Toledo,2011,3,SL,28
València / Valencia,2011,3,SL,141
Valladolid,2011,3,SL,19
Bizkaia,2011,3,SL,35
Zamora,2011,3,SL,4
Zaragoza,2011,3,SL,32
Ceuta,2011,3,SL,3
Melilla,2011,3,SL,2
Araba / Álava,2011,3,Otras,0
Albacete,2011,3,Otras,0
Alacant / Alicante,2011,3,Otras,1
Almería,2011,3,Otras,0
Ávila,2011,3,Otras,0
Badajoz,2011,3,Otras,0
Illes Balears,2011,3,Otras,0
Barcelona,2011,3,Otras,11
Burgos,2011,3,Otras,1
Cáceres,2011,3,Otras,0
Cádiz,2011,3,Otras,0
Castelló / Castellón,2011,3,Otras,0
Ciudad Real,2011,3,Otras,1
Córdoba,2011,3,Otras,0
"Coruña, A",2011,3,Otras,0
Cuenca,2011,3,Otras,0
Girona,2011,3,Otras,0
Granada,2011,3,Otras,0
Guadalajara,2011,3,Otras,0
Gipuzkoa,2011,3,Otras,0
Huelva,2011,3,Otras,0
Huesca,2011,3,Otras,0
Jaén,2011,3,Otras,0
León,2011,3,Otras,0
Lleida,2011,3,Otras,0
"Rioja, La",2011,3,Otras,0
Lugo,2011,3,Otras,0
Madrid,2011,3,Otras,11
Málaga,2011,3,Otras,0
Murcia,2011,3,Otras,0
Navarra,2011,3,Otras,0
Ourense,2011,3,Otras,0
Asturias,2011,3,Otras,0
Palencia,2011,3,Otras,0
"Palmas, Las",2011,3,Otras,5
Pontevedra,2011,3,Otras,0
Salamanca,2011,3,Otras,0
Santa Cruz de Tenerife,2011,3,Otras,0
Cantabria,2011,3,Otras,0
Segovia,2011,3,Otras,0
Sevilla,2011,3,Otras,0
Soria,2011,3,Otras,2
Tarragona,2011,3,Otras,1
Teruel,2011,3,Otras,0
Toledo,2011,3,Otras,1
València / Valencia,2011,3,Otras,1
Valladolid,2011,3,Otras,0
Bizkaia,2011,3,Otras,3
Zamora,2011,3,Otras,0
Zaragoza,2011,3,Otras,2
Ceuta,2011,3,Otras,0
Melilla,2011,3,Otras,0
Araba / Álava,2011,4,SA,0
Albacete,2011,4,SA,1
Alacant / Alicante,2011,4,SA,4
Almería,2011,4,SA,2
Ávila,2011,4,SA,0
Badajoz,2011,4,SA,0
Illes Balears,2011,4,SA,0
Barcelona,2011,4,SA,24
Burgos,2011,4,SA,0
Cáceres,2011,4,SA,0
Cádiz,2011,4,SA,1
Castelló / Castellón,2011,4,SA,1
Ciudad Real,2011,4,SA,0
Córdoba,2011,4,SA,0
"Coruña, A",2011,4,SA,2
Cuenca,2011,4,SA,0
Girona,2011,4,SA,2
Granada,2011,4,SA,0
Guadalajara,2011,4,SA,0
Gipuzkoa,2011,4,SA,3
Huelva,2011,4,SA,0
Huesca,2011,4,SA,0
Jaén,2011,4,SA,0
León,2011,4,SA,0
Lleida,2011,4,SA,1
"Rioja, La",2011,4,SA,4
Lugo,2011,4,SA,0
Madrid,2011,4,SA,28
Málaga,2011,4,SA,3
Murcia,2011,4,SA,0
Navarra,2011,4,SA,2
Ourense,2011,4,SA,1
Asturias,2011,4,SA,1
Palencia,2011,4,SA,0
"Palmas, Las",2011,4,SA,1
Pontevedra,2011,4,SA,1
Salamanca,2011,4,SA,0
Santa Cruz de Tenerife,2011,4,SA,0
Cantabria,2011,4,SA,2
Segovia,2011,4,SA,0
Sevilla,2011,4,SA,1
Soria,2011,4,SA,0
Tarragona,2011,4,SA,1
Teruel,2011,4,SA,0
Toledo,2011,4,SA,2
València / Valencia,2011,4,SA,5
Valladolid,2011,4,SA,1
Bizkaia,2011,4,SA,5
Zamora,2011,4,SA,0
Zaragoza,2011,4,SA,2
Ceuta,2011,4,SA,0
Melilla,2011,4,SA,0
Araba / Álava,2011,4,SL,3
Albacete,2011,4,SL,10
Alacant / Alicante,2011,4,SL,31
Almería,2011,4,SL,14
Ávila,2011,4,SL,4
Badajoz,2011,4,SL,10
Illes Balears,2011,4,SL,54
Barcelona,2011,4,SL,274
Burgos,2011,4,SL,6
Cáceres,2011,4,SL,3
Cádiz,2011,4,SL,14
Castelló / Castellón,2011,4,SL,11
Ciudad Real,2011,4,SL,14
Córdoba,2011,4,SL,14
"Coruña, A",2011,4,SL,24
Cuenca,2011,4,SL,1
Girona,2011,4,SL,18
Granada,2011,4,SL,11
Guadalajara,2011,4,SL,3
Gipuzkoa,2011,4,SL,21
Huelva,2011,4,SL,11
Huesca,2011,4,SL,9
Jaén,2011,4,SL,8
León,2011,4,SL,9
Lleida,2011,4,SL,20
"Rioja, La",2011,4,SL,8
Lugo,2011,4,SL,7
Madrid,2011,4,SL,199
Málaga,2011,4,SL,42
Murcia,2011,4,SL,17
Navarra,2011,4,SL,15
Ourense,2011,4,SL,6
Asturias,2011,4,SL,6
Palencia,2011,4,SL,6
"Palmas, Las",2011,4,SL,25
Pontevedra,2011,4,SL,28
Salamanca,2011,4,SL,10
Santa Cruz de Tenerife,2011,4,SL,17
Cantabria,2011,4,SL,9
Segovia,2011,4,SL,5
Sevilla,2011,4,SL,38
Soria,2011,4,SL,2
Tarragona,2011,4,SL,12
Teruel,2011,4,SL,2
Toledo,2011,4,SL,13
València / Valencia,2011,4,SL,60
Valladolid,2011,4,SL,8
Bizkaia,2011,4,SL,14
Zamora,2011,4,SL,2
Zaragoza,2011,4,SL,27
Ceuta,2011,4,SL,2
Melilla,2011,4,SL,1
Araba / Álava,2011,4,Otras,0
Albacete,2011,4,Otras,1
Alacant / Alicante,2011,4,Otras,1
Almería,2011,4,Otras,1
Ávila,2011,4,Otras,0
Badajoz,2011,4,Otras,0
Illes Balears,2011,4,Otras,1
Barcelona,2011,4,Otras,6
Burgos,2011,4,Otras,0
Cáceres,2011,4,Otras,0
Cádiz,2011,4,Otras,0
Castelló / Castellón,2011,4,Otras,0
Ciudad Real,2011,4,Otras,0
Córdoba,2011,4,Otras,0
"Coruña, A",2011,4,Otras,0
Cuenca,2011,4,Otras,2
Girona,2011,4,Otras,2
