province,year,month,form,count,capital_subscribed
Cantabria,2011,2,SA,3,56102365
Segovia,2011,2,SA,1,258430
Sevilla,2011,2,SA,7,27702633
Soria,2011,2,SA,1,142076
Tarragona,2011,2,SA,8,11125181
Teruel,2011,2,SA,0,0
Toledo,2011,2,SA,4,3510925
Valencia / València,2011,2,SA,10,61232719
Valladolid,2011,2,SA,8,1996235
Bizkaia,2011,2,SA,13,48715337
Zamora,2011,2,SA,1,3245465
Zaragoza,2011,2,SA,7,3923486
Ceuta,2011,2,SA,1,200046
Melilla,2011,2,SA,0,0
Araba / Álava,2011,2,SL,25,6686991
Albacete,2011,2,SL,23,17355197
Alicante / Alacant,2011,2,SL,77,19317091
Almería,2011,2,SL,37,10483994
Ávila,2011,2,SL,7,7261777
Badajoz,2011,2,SL,42,5382096
Illes Balears,2011,2,SL,110,563384321
Barcelona,2011,2,SL,594,591795855
Burgos,2011,2,SL,14,3205045
Cáceres,2011,2,SL,18,2782424
Cádiz,2011,2,SL,47,14426865
Castellón / Castelló,2011,2,SL,36,14967633
Ciudad Real,2011,2,SL,22,2344934
Córdoba,2011,2,SL,32,68272113
A Coruña,2011,2,SL,61,17224404
Cuenca,2011,2,SL,6,1067740
Girona,2011,2,SL,56,25633801
Granada,2011,2,SL,52,118525595
Guadalajara,2011,2,SL,11,1427456
Gipuzkoa,2011,2,SL,58,28067858
Huelva,2011,2,SL,15,1250126
Huesca,2011,2,SL,14,12622204
Jaén,2011,2,SL,12,2856179
León,2011,2,SL,26,8677023
Lleida,2011,2,SL,42,16503239
La Rioja,2011,2,SL,21,8677175
Lugo,2011,2,SL,21,4981214
Madrid,2011,2,SL,593,504704163
Málaga,2011,2,SL,68,37471145
Murcia,2011,2,SL,85,42355793
Navarra,2011,2,SL,33,18294421
Ourense,2011,2,SL,14,1519808
Asturias,2011,2,SL,56,17902831
Palencia,2011,2,SL,5,533765
Las Palmas,2011,2,SL,81,37643908
Pontevedra,2011,2,SL,55,23893945
Salamanca,2011,2,SL,16,11911786
Santa Cruz de Tenerife,2011,2,SL,38,15825545
Cantabria,2011,2,SL,15,9924970
Segovia,2011,2,SL,10,2493809
Sevilla,2011,2,SL,115,56463384
Soria,2011,2,SL,10,4509814
Tarragona,2011,2,SL,60,32774722
Teruel,2011,2,SL,11,1823839
Toledo,2011,2,SL,33,8499014
Valencia / València,2011,2,SL,182,205838069
Valladolid,2011,2,SL,32,6596384
Bizkaia,2011,2,SL,80,31663858
Zamora,2011,2,SL,11,3776085
Zaragoza,2011,2,SL,75,44103398
Ceuta,2011,2,SL,1,57000
Melilla,2011,2,SL,1,62000
Araba / Álava,2011,2,Otras,2,6103
Albacete,2011,2,Otras,0,0
Alicante / Alacant,2011,2,Otras,0,0
Almería,2011,2,Otras,0,0
Ávila,2011,2,Otras,0,0
Badajoz,2011,2,Otras,0,0
Illes Balears,2011,2,Otras,1,1000
Barcelona,2011,2,Otras,9,1912102
Burgos,2011,2,Otras,0,0
Cáceres,2011,2,Otras,0,0
Cádiz,2011,2,Otras,0,0
Castellón / Castelló,2011,2,Otras,0,0
Ciudad Real,2011,2,Otras,0,0
Córdoba,2011,2,Otras,0,0
A Coruña,2011,2,Otras,1,6000
Cuenca,2011,2,Otras,0,0
Girona,2011,2,Otras,0,0
Granada,2011,2,Otras,0,0
Guadalajara,2011,2,Otras,0,0
Gipuzkoa,2011,2,Otras,1,190798
Huelva,2011,2,Otras,0,0
Huesca,2011,2,Otras,1,214200
Jaén,2011,2,Otras,0,0
León,2011,2,Otras,0,0
Lleida,2011,2,Otras,0,0
La Rioja,2011,2,Otras,0,0
Lugo,2011,2,Otras,0,0
Madrid,2011,2,Otras,8,1913508
Málaga,2011,2,Otras,0,0
Murcia,2011,2,Otras,0,0
Navarra,2011,2,Otras,1,1500000
Ourense,2011,2,Otras,0,0
Asturias,2011,2,Otras,0,0
Palencia,2011,2,Otras,0,0
Las Palmas,2011,2,Otras,0,0
Pontevedra,2011,2,Otras,0,0
Salamanca,2011,2,Otras,1,295000
Santa Cruz de Tenerife,2011,2,Otras,0,0
Cantabria,2011,2,Otras,0,0
Segovia,2011,2,Otras,0,0
Sevilla,2011,2,Otras,2,3788
Soria,2011,2,Otras,0,0
Tarragona,2011,2,Otras,0,0
Teruel,2011,2,Otras,0,0
Toledo,2011,2,Otras,0,0
Valencia / València,2011,2,Otras,0,0
Valladolid,2011,2,Otras,0,0
Bizkaia,2011,2,Otras,0,0
Zamora,2011,2,Otras,0,0
Zaragoza,2011,2,Otras,2,60000
Ceuta,2011,2,Otras,0,0
Melilla,2011,2,Otras,0,0
Araba / Álava,2011,3,SA,4,8006435
Albacete,2011,3,SA,4,408142
Alicante / Alacant,2011,3,SA,5,17574956
Almería,2011,3,SA,6,7493514
Ávila,2011,3,SA,1,161696
Badajoz,2011,3,SA,6,13714141
Illes Balears,2011,3,SA,14,25807472
Barcelona,2011,3,SA,50,200483902
Burgos,2011,3,SA,1,504840
Cáceres,2011,3,SA,0,0
